,STT,Date,Max Temp,Avg Temp,Min Temp,Max Dew Point,Avg Dew Point,Min Dew Point,Max Humidity,Avg Humidity,Min Humidity,Max Wind Speed,Avg Wind Speed,Min Wind Speed,Max Pressure,Avg Pressure,Min Pressure
0,1,2021-01-01,86,77.3,73.0,63,61.2,61.0,65,57.2,45.0,12,7.3,5.0,29.9,29.8,29.8
1,2,2021-01-02,88,78.5,72.0,66,63.0,61.0,73,59.5,45.0,12,6.5,2.0,29.9,29.8,29.7
2,3,2021-01-03,90,80.5,72.0,73,67.9,63.0,83,67.0,46.0,7,4.1,2.0,29.9,29.8,29.7
3,4,2021-01-04,91,82.0,75.0,77,70.1,64.0,94,70.0,41.0,10,4.6,1.0,29.9,29.8,29.7
4,5,2021-01-05,90,81.6,75.0,77,71.5,66.0,89,72.3,46.0,9,4.0,1.0,29.9,29.8,29.7
5,6,2021-01-06,90,82.2,75.0,75,70.5,66.0,84,68.6,46.0,7,4.3,1.0,29.8,29.8,29.7
6,7,2021-01-07,93,82.8,75.0,75,70.2,61.0,94,68.5,34.0,10,3.9,1.0,29.8,29.7,29.7
7,8,2021-01-08,93,81.8,75.0,75,72.1,66.0,94,74.2,43.0,10,3.5,1.0,29.8,29.7,29.7
8,9,2021-01-09,91,81.0,73.0,70,64.9,61.0,78,59.6,36.0,9,4.3,1.0,29.9,29.8,29.7
9,10,2021-01-10,88,78.8,70.0,72,65.7,63.0,83,65.1,46.0,7,3.6,1.0,29.9,29.8,29.7
10,11,2021-01-11,90,79.6,72.0,72,64.4,61.0,83,61.8,38.0,10,4.5,1.0,29.9,29.8,29.7
11,12,2021-01-12,88,77.3,70.0,63,58.9,57.0,73,54.4,35.0,10,6.5,3.0,29.9,29.8,29.8
12,13,2021-01-13,82,74.0,66.0,66,60.2,57.0,78,63.0,45.0,9,4.5,1.0,29.9,29.8,29.8
13,14,2021-01-14,86,75.9,64.0,68,65.1,63.0,94,71.1,48.0,9,3.8,1.0,29.9,29.8,29.8
14,15,2021-01-15,88,77.8,70.0,70,65.8,61.0,100,68.6,43.0,12,4.3,1.0,29.9,29.8,29.7
15,16,2021-01-16,90,82.5,75.0,72,66.2,61.0,83,59.8,38.0,12,6.8,3.0,29.8,29.8,29.7
16,17,2021-01-17,90,79.3,72.0,70,63.7,57.0,94,62.0,33.0,13,6.3,1.0,29.9,29.8,29.8
17,18,2021-01-18,88,78.3,68.0,66,58.7,52.0,78,53.0,31.0,12,6.3,1.0,29.9,29.8,29.8
18,19,2021-01-19,82,75.1,68.0,68,60.7,55.0,83,61.4,48.0,9,4.0,1.0,29.9,29.8,29.8
19,20,2021-01-20,88,79.7,70.0,73,66.5,63.0,88,66.1,43.0,8,3.8,1.0,29.9,29.8,29.7
20,21,2021-01-21,90,81.0,75.0,75,70.6,64.0,94,74.0,43.0,10,5.3,1.0,29.9,29.8,29.7
21,22,2021-01-22,88,79.5,75.0,75,73.2,70.0,94,82.5,55.0,8,5.6,2.0,29.9,29.8,29.7
22,23,2021-01-23,90,80.7,75.0,75,72.3,64.0,100,77.7,43.0,14,4.7,2.0,29.9,29.8,29.7
